College,Program_Level,Corporate_Partners,Technology_Sectors,Tiers_of_Membership,Tier_Benefits,Fee_Info,Reference_Website
Massachusetts Institute of Technology (MIT),Department,AMD,"Hardware & Semiconductors, AI/ML, Finance, Data Science, Cloud & Software Platforms,  E-commerce & Digital Media","EECS Alliance Member, EECS Alliance Affiliate Member","EECS Alliance Affiliate Member: • Participate in the MIT 6A Internship Program • Promote company job openings, internships, events, and opportunities with EECS students • Participate in EECS career fairs • Access to student resume booklet • Attend diversity, equity, and inclusion focused events • Fall and spring recruiting sessions • Newsletters EECS Alliance Member: In addition to all Affiliate benefits, Alliance Members are also provided: • Further opportunities to collaborate with students via competitions, project mentorship, events, and more • Invitations to various EECS and MIT events • Participate and organize seminars and guest lectures • Participate and organize diversity, equity, and inclusion focused events • Involvement in the MIT EECS startup ecosystem, through events, networking, etc.",EECS Alliance Affiliate Member: $20000 EECS Alliance Member: $50000,https://www.eecs.mit.edu/home/eecs-alliance-2/
Massachusetts Institute of Technology (MIT),Department,InstaDeep,"Hardware & Semiconductors, AI/ML, Finance, Data Science, Cloud & Software Platforms,  E-commerce & Digital Media","EECS Alliance Member, EECS Alliance Affiliate Member","EECS Alliance Affiliate Member: • Participate in the MIT 6A Internship Program • Promote company job openings, internships, events, and opportunities with EECS students • Participate in EECS career fairs • Access to student resume booklet • Attend diversity, equity, and inclusion focused events • Fall and spring recruiting sessions • Newsletters EECS Alliance Member: In addition to all Affiliate benefits, Alliance Members are also provided: • Further opportunities to collaborate with students via competitions, project mentorship, events, and more • Invitations to various EECS and MIT events • Participate and organize seminars and guest lectures • Participate and organize diversity, equity, and inclusion focused events • Involvement in the MIT EECS startup ecosystem, through events, networking, etc.",EECS Alliance Affiliate Member: $20000 EECS Alliance Member: $50000,https://www.eecs.mit.edu/home/eecs-alliance-2/
Massachusetts Institute of Technology (MIT),Department,Five Rings,"Hardware & Semiconductors, AI/ML, Finance, Data Science, Cloud & Software Platforms,  E-commerce & Digital Media","EECS Alliance Member, EECS Alliance Affiliate Member","EECS Alliance Affiliate Member: • Participate in the MIT 6A Internship Program • Promote company job openings, internships, events, and opportunities with EECS students • Participate in EECS career fairs • Access to student resume booklet • Attend diversity, equity, and inclusion focused events • Fall and spring recruiting sessions • Newsletters EECS Alliance Member: In addition to all Affiliate benefits, Alliance Members are also provided: • Further opportunities to collaborate with students via competitions, project mentorship, events, and more • Invitations to various EECS and MIT events • Participate and organize seminars and guest lectures • Participate and organize diversity, equity, and inclusion focused events • Involvement in the MIT EECS startup ecosystem, through events, networking, etc.",EECS Alliance Affiliate Member: $20000 EECS Alliance Member: $50000,https://www.eecs.mit.edu/home/eecs-alliance-2/
Massachusetts Institute of Technology (MIT),Department,Jane Street,"Hardware & Semiconductors, AI/ML, Finance, Data Science, Cloud & Software Platforms,  E-commerce & Digital Media","EECS Alliance Member, EECS Alliance Affiliate Member","EECS Alliance Affiliate Member: • Participate in the MIT 6A Internship Program • Promote company job openings, internships, events, and opportunities with EECS students • Participate in EECS career fairs • Access to student resume booklet • Attend diversity, equity, and inclusion focused events • Fall and spring recruiting sessions • Newsletters EECS Alliance Member: In addition to all Affiliate benefits, Alliance Members are also provided: • Further opportunities to collaborate with students via competitions, project mentorship, events, and more • Invitations to various EECS and MIT events • Participate and organize seminars and guest lectures • Participate and organize diversity, equity, and inclusion focused events • Involvement in the MIT EECS startup ecosystem, through events, networking, etc.",EECS Alliance Affiliate Member: $20000 EECS Alliance Member: $50000,https://www.eecs.mit.edu/home/eecs-alliance-2/
Massachusetts Institute of Technology (MIT),Department,Bose,"Hardware & Semiconductors, AI/ML, Finance, Data Science, Cloud & Software Platforms,  E-commerce & Digital Media","EECS Alliance Member, EECS Alliance Affiliate Member","EECS Alliance Affiliate Member: • Participate in the MIT 6A Internship Program • Promote company job openings, internships, events, and opportunities with EECS students • Participate in EECS career fairs • Access to student resume booklet • Attend diversity, equity, and inclusion focused events • Fall and spring recruiting sessions • Newsletters EECS Alliance Member: In addition to all Affiliate benefits, Alliance Members are also provided: • Further opportunities to collaborate with students via competitions, project mentorship, events, and more • Invitations to various EECS and MIT events • Participate and organize seminars and guest lectures • Participate and organize diversity, equity, and inclusion focused events • Involvement in the MIT EECS startup ecosystem, through events, networking, etc.",EECS Alliance Affiliate Member: $20000 EECS Alliance Member: $50000,https://www.eecs.mit.edu/home/eecs-alliance-2/
Massachusetts Institute of Technology (MIT),Department,DropBox,"Hardware & Semiconductors, AI/ML, Finance, Data Science, Cloud & Software Platforms,  E-commerce & Digital Media","EECS Alliance Member, EECS Alliance Affiliate Member","EECS Alliance Affiliate Member: • Participate in the MIT 6A Internship Program • Promote company job openings, internships, events, and opportunities with EECS students • Participate in EECS career fairs • Access to student resume booklet • Attend diversity, equity, and inclusion focused events • Fall and spring recruiting sessions • Newsletters EECS Alliance Member: In addition to all Affiliate benefits, Alliance Members are also provided: • Further opportunities to collaborate with students via competitions, project mentorship, events, and more • Invitations to various EECS and MIT events • Participate and organize seminars and guest lectures • Participate and organize diversity, equity, and inclusion focused events • Involvement in the MIT EECS startup ecosystem, through events, networking, etc.",EECS Alliance Affiliate Member: $20000 EECS Alliance Member: $50000,https://www.eecs.mit.edu/home/eecs-alliance-2/
Massachusetts Institute of Technology (MIT),Department,HRT,"Hardware & Semiconductors, AI/ML, Finance, Data Science, Cloud & Software Platforms,  E-commerce & Digital Media","EECS Alliance Member, EECS Alliance Affiliate Member","EECS Alliance Affiliate Member: • Participate in the MIT 6A Internship Program • Promote company job openings, internships, events, and opportunities with EECS students • Participate in EECS career fairs • Access to student resume booklet • Attend diversity, equity, and inclusion focused events • Fall and spring recruiting sessions • Newsletters EECS Alliance Member: In addition to all Affiliate benefits, Alliance Members are also provided: • Further opportunities to collaborate with students via competitions, project mentorship, events, and more • Invitations to various EECS and MIT events • Participate and organize seminars and guest lectures • Participate and organize diversity, equity, and inclusion focused events • Involvement in the MIT EECS startup ecosystem, through events, networking, etc.",EECS Alliance Affiliate Member: $20000 EECS Alliance Member: $50000,https://www.eecs.mit.edu/home/eecs-alliance-2/
Massachusetts Institute of Technology (MIT),Department,IBM Watson Lab,"Hardware & Semiconductors, AI/ML, Finance, Data Science, Cloud & Software Platforms,  E-commerce & Digital Media","EECS Alliance Member, EECS Alliance Affiliate Member","EECS Alliance Affiliate Member: • Participate in the MIT 6A Internship Program • Promote company job openings, internships, events, and opportunities with EECS students • Participate in EECS career fairs • Access to student resume booklet • Attend diversity, equity, and inclusion focused events • Fall and spring recruiting sessions • Newsletters EECS Alliance Member: In addition to all Affiliate benefits, Alliance Members are also provided: • Further opportunities to collaborate with students via competitions, project mentorship, events, and more • Invitations to various EECS and MIT events • Participate and organize seminars and guest lectures • Participate and organize diversity, equity, and inclusion focused events • Involvement in the MIT EECS startup ecosystem, through events, networking, etc.",EECS Alliance Affiliate Member: $20000 EECS Alliance Member: $50000,https://www.eecs.mit.edu/home/eecs-alliance-2/
Massachusetts Institute of Technology (MIT),Department,Milwaukee,"Hardware & Semiconductors, AI/ML, Finance, Data Science, Cloud & Software Platforms,  E-commerce & Digital Media","EECS Alliance Member, EECS Alliance Affiliate Member","EECS Alliance Affiliate Member: • Participate in the MIT 6A Internship Program • Promote company job openings, internships, events, and opportunities with EECS students • Participate in EECS career fairs • Access to student resume booklet • Attend diversity, equity, and inclusion focused events • Fall and spring recruiting sessions • Newsletters EECS Alliance Member: In addition to all Affiliate benefits, Alliance Members are also provided: • Further opportunities to collaborate with students via competitions, project mentorship, events, and more • Invitations to various EECS and MIT events • Participate and organize seminars and guest lectures • Participate and organize diversity, equity, and inclusion focused events • Involvement in the MIT EECS startup ecosystem, through events, networking, etc.",EECS Alliance Affiliate Member: $20000 EECS Alliance Member: $50000,https://www.eecs.mit.edu/home/eecs-alliance-2/
Massachusetts Institute of Technology (MIT),Department,Whatnot,"Hardware & Semiconductors, AI/ML, Finance, Data Science, Cloud & Software Platforms,  E-commerce & Digital Media","EECS Alliance Member, EECS Alliance Affiliate Member","EECS Alliance Affiliate Member: • Participate in the MIT 6A Internship Program • Promote company job openings, internships, events, and opportunities with EECS students • Participate in EECS career fairs • Access to student resume booklet • Attend diversity, equity, and inclusion focused events • Fall and spring recruiting sessions • Newsletters EECS Alliance Member: In addition to all Affiliate benefits, Alliance Members are also provided: • Further opportunities to collaborate with students via competitions, project mentorship, events, and more • Invitations to various EECS and MIT events • Participate and organize seminars and guest lectures • Participate and organize diversity, equity, and inclusion focused events • Involvement in the MIT EECS startup ecosystem, through events, networking, etc.",EECS Alliance Affiliate Member: $20000 EECS Alliance Member: $50000,https://www.eecs.mit.edu/home/eecs-alliance-2/
