College,Program Level,Corporate Partners,Technology Sectors,Tiers of Membership,Tier Benefits,Fee Info,Reference Website
Massachusetts Institute of Technology (MIT),Department,"AMD, InstaDeep, Five Rings, 
Jane Street, Bose, 
DropBox, HRT, IBM Watson Lab, 
Milwaukee, Whatnot, SpreeAI","Hardware & Semiconductors, AI/ML, Finance,
Data Science, Cloud & Software Platforms, 
E-commerce & Digital Media
","EECS Alliance Member,
EECS Alliance Affiliate Member","EECS Alliance Affiliate Member:
• Participate in the MIT 6A Internship Program
• Promote company job openings, internships, events, and opportunities with EECS students
• Participate in EECS career fairs
• Access to student resume booklet
• Attend diversity, equity, and inclusion focused events
• Fall and spring recruiting sessions
• Newsletters

EECS Alliance Member:

In addition to all Affiliate benefits, Alliance Members are also provided:
• Further opportunities to collaborate with students via competitions, project mentorship, events, and more
• Invitations to various EECS and MIT events
• Participate and organize seminars and guest lectures
• Participate and organize diversity, equity, and inclusion focused events
• Involvement in the MIT EECS startup ecosystem, through events, networking, etc.","EECS Alliance Affiliate Member: $20000
EECS Alliance Member: $50000",https://www.eecs.mit.edu/home/eecs-alliance-2/
Stanford University,College,"Amazon, MUFG, Hitachi, Blue Origin, Lockhead Martin","AI, Data Science, Aerospace & Defense, E-commerce","Affiliates Membership, DSA Memberships, etc.","Benefits of Affiliates Membership

Members in the Aeronautics and Astronautics Industrial Affiliates Program receive the following benefits:

    Participation in annual technical meeting
    An annual, one-day meeting where state-of-the-art research is presented by students and faculty in the department, with opportunities for interaction and lab visits.
    Direct contact with faculty
    A faculty member with appropriate technical interests serves as the affiliate's point of contact within the department. Affiliate companies may contact faculty members for further consultation, discussions and to arrange visits to the affiliate's site. The purpose of these visits is to make technical presentations of the Program’s research results. The site presentations and all information, data and results arising from such visitation interactions will be shared with all members and the public.
    Dissemination of technical information
    Members have online access to all research and poster presentations that take place during the annual meeting.
    Exchange of visitors
    Opportunities for members to send Visiting Scholars under the University's policies to work in the department's research facilities.
    Interaction with industry representatives from other member companies
    Opportunities to meet with senior representatives of other affiliate companies.
    Contact with graduate students
    Affiliates can meet with graduate research students during campus visits and discuss potential job opportunities for them for summer internships or full-time employment.
    The Aeronautics and Astronautics Industrial Affiliates Program Researchers will use and develop open-source software, and it is the intention of all Aeronautics and Astronautics Industrial Affiliates Program Program researchers that any software released will be released under an open source model, such as BSD. The Program is open to all Stanford faculty who share this goal.","50 Employees: $10000
50-250: $15000
251-500: $20000
500+: $35000
Regular DSA membership: $150000
Founding DSA membership: $300000
","https://aa.stanford.edu/get-involved/industrial-affiliates-program?
https://dsa.stanford.edu/dsa-membership"
"University of California, Berkeley (UCB)",Department,"a16z, Apple, GM, Google, Intel, 
IXL Learning, Jane Street, NVIDIA, 
Roblox, Splunk, Visa, SLB, Optiver","Semiconductors, Hardware, AI & Cloud Platforms, Finance, 
Industrial & Sustainability Technology, Interactive Media, 
Educational Technology",Corporate Access Program Annual Member,"Develop your on-campus recruitment strategy tailored to your recruiting needs, including:

* A dedicated staff relationship manager to help you utilize the program benefits, customize your recruitment strategy, and serve as your entry point into UC Berkeley via EECS.
* At least two recruitment-focused events with a student organization’s consultation, partnership, and logistical assistance.
* Access to invite-only career fairs: The EECS Career Fair and EECS Internship Fair, in early September.
* On-campus interviews, office hours, and access to department resources. 
","$20,000",https://eecs.berkeley.edu/industry/corporate-access-program/
California Institute of Technology (Caltech),Department,"Activision, Applied Intuition, Axonics,
Beyond Limits AI, BuildOps, Cadence, 
Citadel, DRW, Elementary, Meta, Green Hills Software,
Jane Street, MemVerge AI, Northrop Grumman, 
Nuro, City of Pasadena, Pimco, Standard Metrics, Samsung,
SASE, Street Simplified, Virtu Financial, Virtualitics, Western Asset","AI, Data Analytics, Fintech, Semiconductors, Autonomous Systems,
Hardware & Embedded Systems, Gaming, Aerospace, Biotech,
Industrial Tech, Construction
","Corporate Member, Individual Member","Corporate Members

    Host a booth at
    Attend Techfest
    Attend Meeting of the Minds
    Give a featured Tech Talk
    Host a ""Dinner for Eight"" to network with students and postdocs
    Attend workshops and seminars
    Receive announcements regarding sponsorship and involvement opportunities for a wide variety of activities such as workshops, student clubs and hackathons, research collaborations, and course projects

Individual Members

The CMS-EE Department is happy to welcome alumni and other individuals to the CMS-EE Partners Program. Individual members are invited to attend departmental events such as seminars, Techfest, and Meeting of the Minds. The CMS-EE Partners Program is a great way for alumni to stay engaged, or re-engage, with the CMS and EE Departments.","Not publically listed, varies depending on company size",https://cms-ee-partners.caltech.edu?
Georgia Institute of Technology (Georgia Tech),Department,Member companies not listed publically,"power, communications, semiconductors, robotics, systems","Tier 1: Gold, Tier 2: Silver, Tier 3: White","ECE Access Tier 3: White
With Tier 3, your access to ECE comes with all of our standard services, as well as one additional service from column A.

ECE Access Tier 2: Silver
With Tier 2, your access to ECE comes with all of our standard services, two additional services from column A, and early access to resumes.

ECE Access Tier 1: Gold
With Tier 1, your access to ECE comes with all of our standard services, two additional services from column A, one additional service from column B, early access to resumes, and concierge service.

STANDARD SERVICES

Either Virtual Fall or Virtual Spring Career Fair

    One day registration fee is waived for virtual Fair
    Free ECE resume book
    Virtual interview space created via BlueJeans
    IT support from ECE Development and Career Fair Plus representative

Virtual Day in the Lobby (Fall or Spring semester)

    Schedule tailored to company's need
    Virtual Event on BlueJeans

Virtual ECE Information Session (Fall or Spring semester)

    Virtual Presentation on BlueJeans
    Moderated by ECE Development

Digital Marketing Support

Display of your marketing materials to promote events and job openings to ECE students via the following:

    Digital signage
    Targeted emails
    Social media advertising per company's need
    Company logo displayed on ECE website 

Assistance with organizing virtual meetings with ECE student organizations (Fall or Spring semester)

COLUMN A

    Makerspace advertising
    Two classroom technical lectures
    Increased website presence that includes direct company links
    Both Fall and Spring ECE Career Fair
    Access to student graduate theses and dissertation abstracts and announcements
    Fall ECE Access Reception

COLUMN B
    Senior Design Team Support","Tier 1: $20000
Tier 2: $15000
Tier 3: $10000",https://ece.gatech.edu/industry-partners/ece-access
University of Illinois Urbana-Champaign (UIUC),Department,List of Companies not listed publically,"Power/energy, semiconductors, communications, systems",Affiliate programs (Corporate Connection; Power Affiliates) – tiers not published,"Depending on the Tier selected, you may receive priority access to several different recruiting events, including an exclusive invitation to the Corporate Connection After Hours Event, a Corporate Day and unlimited Tech Talks in the home buildings of the Siebel School and ECE Department. Members of the program have first chance to book space for campus events, and work with an account manager to help you make the most of your time on campus.

Becoming a Corporate Connection partner will increase your visibility to students, provide you assistance in organizing campus visits, and allow you to target specific students as you recruit. You'll also be given first consideration in involvement with and sponsorship for student events, workshops, scholarships, and other projects. Plus, the annual partnership contribution supports program activities, educational and outreach activities, student projects, student organizations, scholarships, and other investments to strengthen the infrastructure of the Siebel School and ECE Department.",Fees not listed publically,https://ece.illinois.edu/corporate/corporate-connection
"University of Michigan, Ann Arbor",College,"Bosch, KLA, Apple, BD, Bloomberg, CapitalOne, Caterpillar, Donaldson, 
Eli Lilly, EY, Ford, Tesla, Trade Desk","Automotive Systems, Semiconductors, Biotech, Finance, 
Industrial Manufacturing, Data Technology","Platinum, Executive","Platinum:

    Prominent recognition within student resources on ECRC website
    Unlimited access to resume database for primary contact
    Preferred location at Winter Engineering Career Fair
    Prominent location for in person events and featured employer designation for virtual events (ECRC hosted)
    Email blast to students (2 per year)
    Strategy session with ECRC Leadership
    Dedicated senior-level staff account manager

Executive:

    High recognition within student resources on ECRC website
    Unlimited access to resume database for primary contact
    Preferred location at Winter Engineering Career Fair
    Email blast to students (1 per year)
    Strategy session with ECRC Team
    Dedicated senior-level staff account manager
","Platinum: $10000
Executive: $5000",https://career.engin.umich.edu/employers/partners/
Carnegie Mellon University,Department,Member companies not listed publically,"AI/ML, robotics, semiconductors, networking, software","Capstone Partner, Curriculum Partner","Capstone Partner

Companies are introduced to ECE undergrad students in the senior design course to facilitate company interaction and student recruiting. Structured engagement throughout the course between companies and students includes information sessions, opportunities for direct team interactions, and final demos. This financial support is used to enhance project resources for these students.
Capstone Partner Benefits:

    Invitation for Capstone Intro, Engagement and Demo Day
    Support for Fall Recruiting Day in ECE
    Option for sponsor-directed projects ($15k/semester/project)

Curriculum Partner

Companies participate in an annual cycle of recruiting and curricular events. Features include Course Engagement, Fall Recruiting, and a Spring Curriculum Caucus. Additionally, Curriculum Partners are supported in recruiting through on-campus events and the administration of recruitment-focused student scholarships and fellowships.
Curriculum Partner Benefits:

    Invitation to Curricular Engagement with ECE faculty
    Intro to select courses and faculty for potential guest lectures and project judging
    All Foundational partner benefits

","Capstone Partner: $5000
Curriculum Partner: $25000",https://www.ece.cmu.edu/about/corporate-partnerships.html
University of Texas at Austin,Department,"AMD, Texas Instruments, Apple, Boeing, Chevron, Cirrus Logic, 
Emerson, Intel, Lockhead Martin, Qualcomm, Sandia Labs","Semiconductors & Computing Hardware, Aerospace & Defense, 
Energy & Industrial Systems, Consumer Electronics","Corporate Partner, Government & Startups, Advantage Corporate Partners, Advantage Government & Startups","    Guaranteed space at Bonanza, plus invites to exclusive flagship events like Graduate Recruiting in early fall
    Invitations to Lobby Day, Tech Talks, and Graduate Recruiting
    Organized campus visits with department support
    Partnership opportunities with student organizations, including sponsored events
    Extend your visibility to related majors across engineering beyond Texas ECE
    Opportunities to leverage alumni in your recruiting efforts

For Advanced Tier:
    All Benefits + 3 student orgs access","Corporate Partner: $20000
Government & Startups: $10000
Advantage Corporate Partners: $35000
Advantage Government & Startups: $15000
",https://www.ece.utexas.edu/engage/corporate/recruiting
"University of California, San Diego (UCSD)",College,"Amazon, AMD, Apple, Dexcom, ASML, Dell, f5, Genetech, General Atomics, Google, HP, 
Honda, Meta, LLNL, Lockhead Martin, etc.","Semiconductors & Computing Hardware, Aerospace & Defense, 
Energy & Industrial Systems, Consumer Electronics, Biotech, Automotive Robotics",CAP Member,"ACCESS TO STUDENTS

CAP provides a variety of services to help your company build its brand at the Jacobs School of Engineering and successfully search for qualified employees.

    We help you define and execute your Talent Acquisition Strategy on campus
    Host your own events at Jacobs or participate in existing ones
    Post your internships and full-time positions -we take care of the advertising
    Collaborate with Engineering Student Organizations
    Participate in our Talent Programs - we advertise and pre-screen for you
    Sponsor Student Design Projects
    Access to Faculty & Research
    Fellowships & Scholarships

RESEARCH

Research collaborations with the Jacobs School yield results for your company. From brainstorming meetings that encourage engineers to research contracts with defined deliverables, Jacobs School faculty are eager to work with your company. CAP helps identify and facilitate collaborations.

    Collaborations
    Faculty Profile Database
    Graduate Student Sponsorship
    Grant Support
    Joint Proposals
    Research Expo
    Technology Advancement Programs

LEADERSHIP

All CAP member companies have a seat on the CAP Executive Board, a unique opportunity to share in leadership of the Jacobs School. We value your ideas. Working together, we can work better for you.

    Curriculum Development
    Future Research Focus
    Industry-University Initiatives
    Networking

ADDITIONAL BENEFITS

    Parking Permit
    Invitations to Jacobs School and University Events
    Access to Campus Facilities through the Jacobs School","Up to $10M Revenue: $10000
$10M - $150M: $15000
Over $150M: $25000
",https://jacobsschool.ucsd.edu/cap/partners
